대출_고유키,금융회사코드,금융회사명,금융상품코드,금융상품명,기준일자,심의필일자,적재일자
대출_168,035,제주은행,,비상금대출,20231122,준법감시인 심의필 제2023-02-431호(심의일자: 2023.06.07 / 유효기간: 2023.06.07 ~ 2024.12.31),20240104
대출_169,035,제주은행,,기업대출상품,,준법감시인 심의필 제2023-02-198호(심의일자: 2023.04.13 / 유효기간 : 2023.04.13 ~ 2024.12.31),20240104
대출_170,035,제주은행,,기업대출상품,,준법감시인 사전심사필 제2023-02-196호(심의일자: 2023.04.13 / 유효기간 : 2023.04.13 ~ 2024.12.31),20240104
대출_171,035,제주은행,,기업대출상품,,준법감시인 심사필 제2023-02-199호(심의일자: 2023.04.13 / 유효기간 : 2023.04.13 ~ 2024.12.31),20240104
대출_172,035,제주은행,,기업대출상품,,준법감시인 심사필 제2023-02-197호(심의일자: 2023.04.13 /유효기간 : 2023.04.13 ~ 2024.12.31),20240104
대출_173,035,제주은행,,서민금융상품,,준법감시인 사전심사필 제2023-02-555호(심의일자: 2023.06.27 / 유효기간: 2023.06.27 ~ 2024.12.31),20240104
대출_174,037,전북은행,20010300301940000,JB 위풍당당 대출,20230918,준법감시인 심의필 제2023-나-1060호 (유효기간 : 2025. 9. 18 까지),20240104
대출_175,037,전북은행,20010300301278001,JB 새희망홀씨II 대출,20230613,준법감시인 심의필 : 준법감시인 심의필 제2023-나-671호 (유효기간 : 2025. 6. 20 까지),20240104
대출_176,037,전북은행,20010300301390000,JB Bravo KOREA 대출,20231016,준법감시인 심의필 제2023-나-1280호 (유효기간 : 2024. 10. 24 까지),20240104
대출_177,037,전북은행,20010300301873701,JB햇살론 youth,20231227,준법감시인 심의필 제2023-나-1874호 (유효기간 : 2025. 12. 28 까지),20240104
대출_178,037,전북은행,20010300302053701,JB햇살론뱅크,20231227,준법감시인 심의필 제2023-나-1881호 (유효기간 : 2025. 12. 28 까지),20240104
대출_179,037,전북은행,20010300302860000,JB 햇살론15,20231227,준법감시인 심의필 : 준법감시인 심의필 제2023-나-1883호 (유효기간 : 2025. 12. 28 까지),20240104
대출_180,037,전북은행,20010300301363701,JB 사잇돌 중금리 대출,20230420,,20240104
대출_181,039,경남은행,0000205989,BNK모바일주택담보대출,"2024-01-04(세전,연%)",준법감시인심의필심의번호2023-H-2114심의일자2023.08.30유효기간2023.12.31,20240104
대출_182,039,경남은행,0000203699,BNK모바일신용대출,"2024-01-04(세전,연%)",준법감시인심의필2023-H-2664.심의일자2023.10.30.유효기간2024.12.31,20240104
대출_183,039,경남은행,0000209329,든든전세대출(서울보증보험),"2024-01-04(세전,연%)",심의번호2023-H-3084심의일자2023.12.19유효기간2024.12.31,20240104
대출_184,039,경남은행,0000206476,따뜻한햇살론뱅크,"2024-01-04(세전,연%)",준법감시인심의필2023-H-3096.심의일자2023.12.19.유효기간2024.12.31,20240104
대출_185,039,경남은행,0000203620,BNK모바일신용대출플러스,"2024-01-04(세전,연%)",준법감시인심의필2023-H-3113심의일자2023.12.20유효기간:2024.12.31,20240104
대출_186,039,경남은행,0000201445,모바일전월세자금대출,"2024-01-04(세전,연%)",심의번호2023-H-3087심의일자2023.12.19유효기간2024.12.31,20240104
대출_187,039,경남은행,0000200478,비대면BNK경남사잇돌중금리대출,"2024-01-04(세전,연%)",심의번호2023-H-3090심의일자2023.12.19유효기간2024.12.31,20240104
대출_188,039,경남은행,0000017073,직장인플러스알파론,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3302,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_189,039,경남은행,0000204724,BNK모바일전문직신용대출,"2024-01-04(세전,연%)",심의번호2023-H-3110심의일자2023.12.20유효기간2024.12.31,20240104
대출_190,039,경남은행,0000202413,인터넷예·적금담보대출,"2024-01-04(세전,연%)",심의번호2023-H-3093심의일자2023.12.19유효기간2024.12.3,20240104
대출_191,039,경남은행,0000017081,경남새희망홀씨대출Ⅱ,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3326,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_192,039,경남은행,0000017084,집집마다도움대출Ⅱ,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3297,심의일자:2023.12.29,유효기일:2024.12.31",20240104
대출_193,039,경남은행,0000017144,내집마련디딤돌대출,"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-1503,심의일자:2023.06.16,유효기일:2024.12.31",20240104
대출_194,039,경남은행,0000200641,전세자금대출(주택금융공사),"2024-01-04(세전,연%)","준법감시인심의필심의번호:2023-H-3290,심의일자:2023.12.29,유효기일:2024.12.31",20240104
